"i","pos_x","pos_y"
225,-58.4792345,-34.582349
226,-58.4792393,-34.5824131
227,-58.477995,-34.5840464
228,-58.4780387,-34.5839534
229,-58.4780944,-34.583819
230,-58.4782682,-34.5833999
231,-58.4508002,-34.5942305
232,-58.4514776,-34.59372
233,-58.4523555,-34.5930621
234,-58.4486367,-34.592631
235,-58.4492932,-34.5920275
236,-58.4493371,-34.5919864
237,-58.4494541,-34.591877
238,-58.4495881,-34.5917517
239,-58.4497051,-34.5916423
240,-58.4501328,-34.5912422
241,-58.4501491,-34.5912269
242,-58.4505361,-34.590865
243,-58.450666,-34.5907435
244,-58.4509393,-34.5904878
245,-58.450985,-34.5904451
246,-58.4512466,-34.5902044
247,-58.4514317,-34.5900273
248,-58.451604,-34.5898713
249,-58.4516839,-34.5897998
250,-58.451815,-34.5896886
251,-58.453262,-34.5910059
252,-58.4523698,-34.5916577
253,-58.4506098,-34.5929406
254,-58.449783,-34.5935511
255,-58.4582099,-34.5983047
256,-58.4611297,-34.5976971
257,-58.462601,-34.5974041
258,-58.4633387,-34.5972423
259,-58.4640322,-34.5970859
260,-58.4640745,-34.5970764
261,-58.4643156,-34.5970232
262,-58.4653151,-34.5968029
263,-58.4694746,-34.5992382
264,-58.4694291,-34.5991395
265,-58.4692802,-34.5990626
266,-58.4684248,-34.5987523
267,-58.4678925,-34.5985483
268,-58.4674405,-34.5983766
269,-58.4668154,-34.5981604
270,-58.4572081,-34.6007752
271,-58.4588786,-34.600414
272,-58.4603463,-34.6000868
273,-58.4617915,-34.599783
274,-58.4632592,-34.5994756
275,-58.4699548,-34.5991298
276,-58.4532927,-34.5988542
277,-58.4533862,-34.5989209
278,-58.4542504,-34.5995578
279,-58.4547727,-34.5999421
280,-58.4551798,-34.6002393
281,-58.4561351,-34.6009363
282,-58.4568984,-34.6014941
283,-58.4569623,-34.6015616
284,-58.4569815,-34.6016192
285,-58.4569957,-34.6016892
286,-58.4570008,-34.6018051
287,-58.4570001,-34.6018626
288,-58.4569997,-34.6018968
289,-58.4574979,-34.5833843
290,-58.4567064,-34.5821361
291,-58.4561603,-34.5812657
292,-58.4555742,-34.5803791
293,-58.454846,-34.5792319
294,-58.4730474,-34.5850626
295,-58.4743232,-34.5835583
296,-58.4751192,-34.5825971
297,-58.4753886,-34.5822771
298,-58.475492,-34.5821522
299,-58.4760059,-34.5816909
300,-58.4762713,-34.5834689
301,-58.4776408,-34.5845049
302,-58.478542,-34.5851877
303,-58.4720689,-34.5884325
304,-58.4721298,-34.5884408
305,-58.4721748,-34.5884388
306,-58.4722117,-34.5884318
307,-58.472258,-34.5884153
308,-58.4733408,-34.5878286
309,-58.4734533,-34.5877648
310,-58.4736949,-34.5879545
311,-58.4742374,-34.5883753
312,-58.4748467,-34.5888573
313,-58.4748694,-34.5888746
314,-58.4750115,-34.5889853
315,-58.475986,-34.5897316
316,-58.4750397,-34.5907783
317,-58.4758898,-34.5898424
